"flight_id","город_отправления","город_прибытия","data","bus","eco","comf","total","lost_total","lost_share_pct","kol_pas","proc_zap"
19667,Новосибирск,Москва,2017-05-20 14:20:00.000 +0300,2268000.00,6608000.00,1761200.00,3248000.00,10637200.00,76.61,102,25.37
19681,Новосибирск,Москва,2017-05-17 14:20:00.000 +0300,1932000.00,6944000.00,1761200.00,3250800.00,10637200.00,76.59,94,23.38
19618,Новосибирск,Москва,2017-05-19 14:20:00.000 +0300,2100000.00,6636000.00,1808800.00,3346000.00,10544800.00,75.91,102,25.37
19631,Новосибирск,Москва,2017-05-21 14:20:00.000 +0300,2016000.00,6720000.00,1666000.00,3480400.00,10402000.00,74.93,103,25.62
19668,Новосибирск,Москва,2017-05-18 14:20:00.000 +0300,2016000.00,6608000.00,1713600.00,3547600.00,10337600.00,74.45,106,26.37
19567,Новосибирск,Москва,2017-05-18 11:50:00.000 +0300,2008800.00,6193800.00,1659000.00,3967000.00,9861600.00,71.31,121,30.10
19581,Новосибирск,Москва,2017-05-17 11:50:00.000 +0300,1590300.00,6556500.00,1611600.00,4081400.00,9758400.00,70.51,114,28.36
19684,Новосибирск,Москва,2017-05-22 14:20:00.000 +0300,1764000.00,6160000.00,1666000.00,4298000.00,9590000.00,69.05,126,31.34
19633,Новосибирск,Москва,2017-05-23 14:20:00.000 +0300,1764000.00,6272000.00,1475600.00,4373600.00,9511600.00,68.50,126,31.34
19546,Новосибирск,Москва,2017-05-19 11:50:00.000 +0300,1506600.00,6193800.00,1706400.00,4424600.00,9406800.00,68.01,126,31.34
19534,Новосибирск,Москва,2017-05-20 11:50:00.000 +0300,1757700.00,6110100.00,1516800.00,4446800.00,9384600.00,67.85,130,32.34
19517,Новосибирск,Москва,2017-05-21 11:50:00.000 +0300,1590300.00,6305400.00,1469400.00,4466300.00,9365100.00,67.71,126,31.34
19500,Новосибирск,Москва,2017-05-22 11:50:00.000 +0300,1255500.00,5886900.00,1564200.00,5130400.00,8706600.00,62.92,143,35.57
19485,Новосибирск,Москва,2017-05-23 11:50:00.000 +0300,1171800.00,5803200.00,1469400.00,5392600.00,8444400.00,61.03,149,37.06
19624,Новосибирск,Москва,2017-05-24 14:20:00.000 +0300,1428000.00,5460000.00,1190000.00,5807200.00,8078000.00,58.18,165,41.04
10432,Москва,Новосибирск,2017-05-19 11:45:00.000 +0300,1680000.00,5040000.00,1285200.00,5891200.00,8005200.00,57.61,175,43.53
10424,Москва,Новосибирск,2017-05-21 11:45:00.000 +0300,1680000.00,4928000.00,1332800.00,5947200.00,7940800.00,57.18,178,44.28
10433,Москва,Новосибирск,2017-05-17 11:45:00.000 +0300,1260000.00,5208000.00,1380400.00,6048000.00,7848400.00,56.48,172,42.79
19647,Новосибирск,Москва,2017-05-25 14:20:00.000 +0300,1428000.00,5068000.00,1285200.00,6118000.00,7781200.00,55.98,177,44.03
10454,Москва,Новосибирск,2017-05-18 11:45:00.000 +0300,1428000.00,4648000.00,1428000.00,6381200.00,7504000.00,54.04,189,47.01
19655,Новосибирск,Москва,2017-05-26 14:20:00.000 +0300,1260000.00,4676000.00,1428000.00,6532400.00,7364000.00,52.99,190,47.26
19471,Новосибирск,Москва,2017-05-24 11:50:00.000 +0300,1088100.00,4854600.00,1090200.00,6804100.00,7032900.00,50.83,192,47.76
10491,Москва,Новосибирск,2017-05-20 11:45:00.000 +0300,1008000.00,4900000.00,999600.00,6994400.00,6907600.00,49.69,194,48.26
10444,Москва,Новосибирск,2017-05-23 11:45:00.000 +0300,756000.00,4900000.00,1190000.00,7044800.00,6846000.00,49.28,193,48.01
10505,Москва,Новосибирск,2017-05-22 11:45:00.000 +0300,1428000.00,4228000.00,1142400.00,7092400.00,6798400.00,48.94,210,52.24
19474,Новосибирск,Москва,2017-05-25 11:50:00.000 +0300,1088100.00,4380300.00,1042800.00,7331400.00,6511200.00,47.04,210,52.24
557,Москва,Новосибирск,2017-05-17 11:05:00.000 +0300,1004400.00,4296600.00,1185000.00,7356600.00,6486000.00,46.86,211,52.49
601,Москва,Новосибирск,2017-05-21 11:05:00.000 +0300,1422900.00,3822300.00,995400.00,7599200.00,6240600.00,45.09,227,56.47
515,Москва,Новосибирск,2017-05-18 11:05:00.000 +0300,1255500.00,4129200.00,853200.00,7610300.00,6237900.00,45.04,221,54.98
551,Москва,Новосибирск,2017-05-20 11:05:00.000 +0300,1088100.00,4073400.00,948000.00,7735900.00,6109500.00,44.13,223,55.47
10461,Москва,Новосибирск,2017-05-25 11:45:00.000 +0300,1092000.00,4032000.00,904400.00,7868000.00,6028400.00,43.38,226,56.22
542,Москва,Новосибирск,2017-05-19 11:05:00.000 +0300,837000.00,4129200.00,995400.00,7886600.00,5961600.00,43.05,223,55.47
10420,Москва,Новосибирск,2017-05-24 11:45:00.000 +0300,924000.00,3892000.00,1094800.00,7988400.00,5910800.00,42.53,229,56.97
516,Москва,Новосибирск,2017-05-22 11:05:00.000 +0300,837000.00,3989700.00,1042800.00,7970300.00,5869500.00,42.41,227,56.47
19685,Новосибирск,Москва,2017-08-03 14:20:00.000 +0300,1176000.00,3528000.00,1047200.00,8150800.00,5751200.00,41.37,240,59.70
19589,Новосибирск,Москва,2017-07-03 14:20:00.000 +0300,756000.00,3864000.00,1094800.00,8178800.00,5714800.00,41.13,232,57.71
10478,Москва,Новосибирск,2017-05-27 11:45:00.000 +0300,1092000.00,3920000.00,666400.00,8215200.00,5678400.00,40.87,235,58.46
19703,Новосибирск,Москва,2017-05-27 14:20:00.000 +0300,1092000.00,3444000.00,1047200.00,8310400.00,5583200.00,40.19,244,60.70
19609,Новосибирск,Москва,2017-06-12 14:20:00.000 +0300,1092000.00,3332000.00,1142400.00,8338400.00,5566400.00,40.03,246,61.19
